brown mackie college-atlanta, atlanta, ga, www.brownmackie.edu/locations/atlanta
carver bible college, atlanta, ga, www.carver.edu
chamberlain university-georgia, atlanta, ga, www.chamberlain.edu
clark atlanta university, atlanta, ga, www.cau.edu
emory university, atlanta, ga, www.emory.edu
empire beauty school-northlake, atlanta, ga, www.empire.edu
georgia christian university, atlanta, ga, www.gcuniv.edu
georgia state university, atlanta, ga, www.gsu.edu
georgia state university-perimeter college, atlanta, ga, www.gsu.edu
grady health system professional schools, atlanta, ga, www.gradyhealthsystem.org
herzing university-atlanta, atlanta, ga, www.herzing.edu
interdenominational theological center, atlanta, ga, www.itc.edu
international school of skin nailcare & massage therapy, atlanta, ga, issnschoolspa.com/
miami ad school at portfolio center, atlanta, ga, www.portfoliocenter.edu
morehouse college, atlanta, ga, www.morehouse.edu
morehouse school of medicine, atlanta, ga, www.msm.edu
oglethorpe university, atlanta, ga, www.oglethorpe.edu
paul mitchell the school-atlanta, atlanta, ga, www.paulmitchellatlanta.edu
profile institute of barber-styling, atlanta, ga, profileinstitute.com
sanford-brown college-atlanta, atlanta, ga, www.sanfordbrown.edu/atlanta
south university-accelerated graduate programs, atlanta, ga, www.southuniversity.edu/admissions/accelerated-graduate-programs
spelman college, atlanta, ga, www.spelman.edu
strayer university-cobb campus, atlanta, ga, www.strayer.edu/georgia/cobb-county
strayer university-georgia, atlanta, ga, www.strayer.edu/georgia/chamblee
the art institute of atlanta, atlanta, ga, www.artinstitutes.edu/atlanta
the creative circus, atlanta, ga, www.creativecircus.edu
baker college of auburn hills, auburn hills, mi, www.baker.edu
auburn university, auburn, al, www.auburn.edu
bj's beauty & barber college, auburn, wa, bjsbeautyandbarbercollege.com/
cayuga county community college, auburn, ny, www.cayuga-cc.edu/
cayuga onondaga boces-practical nursing program, auburn, ny, www.cayboces.org
central maine community college, auburn, me, www.cmcc.edu
green river college, auburn, wa, www.greenriver.edu/
augusta university, augusta, ga, www.augusta.edu
capilo school of hair design, augusta, me, www.capilo.com
east georgia state college - augusta, augusta, ga, www.ega.edu/augusta
empire beauty school-augusta, augusta, ga, www.empire.edu
kaplan university-augusta campus, augusta, me, www.kaplanuniversity.edu/augusta-maine.aspx
paine college, augusta, ga, www.paine.edu
strayer university-augusta campus, augusta, ga, www.strayer.edu/georgia/augusta
university of maine at augusta, augusta, me, www.uma.edu/
virginia college-augusta, augusta, ga, www.vc.edu/campus/augusta-georgia-college.cfm
american sentinel university, aurora, co, www.americansentinel.edu
aurora university, aurora, il, aurora.edu
community college of aurora, aurora, co, www.ccaurora.edu
concorde career college-aurora, aurora, co, www.concorde.edu
empire beauty school-aurora, aurora, co, www.empire.edu
national american university-westwood teach-out site, aurora, co, www.national.edu/
pima medical institute-aurora, aurora, co, pmi.edu
platt college-aurora, aurora, co, www.plattcolorado.edu
rasmussen college-aurora, aurora, il, www.rasmussen.edu
utah college of massage therapy-aurora, aurora, co, www.steinered.com/
wells college, aurora, ny, www.wells.edu
xenon international academy-denver, aurora, co, www.xenonacademy.net
academy of hair design - austin, austin, tx, null
altierus career college-austin, austin, tx, https://www.altierus.org/campus/austin
aoma graduate school of integrative medicine, austin, tx, https://aoma.edu/
auguste escoffier school of culinary arts-austin, austin, tx, www.escoffier.edu
austin community college district, austin, tx, www.austincc.edu
austin graduate school of theology, austin, tx, www.austingrad.edu
austin presbyterian theological seminary, austin, tx, www.austinseminary.edu
avenue five institute, austin, tx, www.avenuefive.com
baldwin beauty school-north austin, austin, tx, baldwinbeautyschools.com
baldwin beauty school-south austin, austin, tx, baldwinbeautyschools.com
concordia university texas, austin, tx, www.concordia.edu
episcopal theological seminary of the southwest, austin, tx, ssw.edu
huston-tillotson university, austin, tx, www.htu.edu
le cordon bleu college of culinary arts-austin, austin, tx, www.chefs.edu/austin
national american university-austin south, austin, tx, www.national.edu/locations/campuses/austin-south/
national american university-austin, austin, tx, www.national.edu/locations/campuses/austin/
national american university-harold d. buckingham graduate school, austin, tx, www.national.edu/
paul mitchell the school-austin, austin, tx, https://paulmitchell.edu/austin
riverland community college, austin, mn, www.riverland.edu
saint edward's university, austin, tx, https://www.stedwards.edu
southern careers institute-austin, austin, tx, www.scitexas.edu
strayer university-texas, austin, tx, www.strayer.edu/texas/north-austin
texas health and science university, austin, tx, https://www.thsu.edu
the art institute of austin, austin, tx, www.artinstitutes.edu/austin/
the college of health care professions-austin, austin, tx, www.chcp.edu
the recording conservatory of austin, austin, tx, trcoa.com
the university of texas at austin, austin, tx, www.utexas.edu
vantage college, austin, tx, www.vantage.edu
virginia college-austin, austin, tx, www.vc.edu
casal aveda institute, austintown, oh, www.casalaveda.com
ave maria university, ave maria, fl, www.avemaria.edu
south florida state college, avon park, fl, www.southflorida.edu
empire beauty school-avondale, avondale, az, www.empire.edu
estrella mountain community college, avondale, az, www.estrellamountain.edu
azusa pacific university, azusa, ca, www.apu.edu
webber international university, babson park, fl, www.webber.edu
bainbridge state college, bainbridge, ga, www.bainbridge.edu/
bakersfield college, bakersfield, ca, www.bakersfieldcollege.edu/
brightwood college-bakersfield, bakersfield, ca, www.brightwood.edu
california aeronautical university, bakersfield, ca, null
california state university-bakersfield, bakersfield, ca, www.csub.edu
milan institute-bakersfield west, bakersfield, ca, www.milaninstitute.edu
milan institute-bakersfield, bakersfield, ca, www.milaninstitute.edu
san joaquin valley college-bakersfield, bakersfield, ca, www.sjvc.edu/
santa barbara business college-bakersfield, bakersfield, ca, sbbcollege.edu
uei college-bakersfield, bakersfield, ca, www.uei.edu
baker university, baldwin city, ks, https://www.bakeru.edu
baldwin park adult & community education, baldwin park, ca, www.bpusd.net
john paolo's xtreme beauty institute-goldwell product artistry, ballston spa, ny, www.johnpaolo.edu
all-state career-baltimore, baltimore, md, www.allstatecareer.edu
bais hamedrash and mesivta of baltimore, baltimore, md, www.bhmb.edu
baltimore city community college, baltimore, md, www.bccc.edu
baltimore studio of hair design, baltimore, md, www.baltimorestudio.com
brightwood college-baltimore, baltimore, md, www.brightwood.edu
community college of baltimore county, baltimore, md, www.ccbcmd.edu
coppin state university, baltimore, md, www.coppin.edu
faith theological seminary, baltimore, md, fts.edu
fortis institute-baltimore, baltimore, md, www.fortis.edu
goucher college, baltimore, md, www.goucher.edu
holistic massage training institute, baltimore, md, www.massagetrainingbaltimore.com
johns hopkins university, baltimore, md, www.jhu.edu
loyola university maryland, baltimore, md, www.loyola.edu
maryland beauty academy of essex, baltimore, md, www.baltimorestudio.com
maryland beauty academy, baltimore, md, www.baltimorestudio.com
maryland institute college of art, baltimore, md, www.mica.edu
morgan state university, baltimore, md, www.morgan.edu
ner israel rabbinical college, baltimore, md, nirc.edu
north american trade schools, baltimore, md, natradeschools.edu
notre dame of maryland university, baltimore, md, www.ndm.edu
strayer university-white marsh campus, baltimore, md, www.strayer.edu/maryland/white-marsh
university of baltimore, baltimore, md, www.ubalt.edu
university of maryland baltimore, baltimore, md, www.umaryland.edu
university of maryland-baltimore county, baltimore, md, umbc.edu
beal college, bangor, me, www.bealcollege.edu/
eastern maine community college, bangor, me, www.emcc.edu
empire beauty school-bangor, bangor, me, www.empire.edu
husson university, bangor, me, www.husson.edu
lees-mcrae college, banner elk, nc, www.lmc.edu
college of the atlantic, bar harbor, me, www.coa.edu
panache academy of beauty, baraboo, wi, panacheacademyofbeauty.com
keweenaw bay ojibwa community college, baraga, mi, www.kbocc.edu
union college, barbourville, ky, www.unionky.edu
gordon state college, barnesville, ga, www.gordonstate.edu
d'mart institute, barranquitas, pr, www.dmartpr.com
inter american university of puerto rico-barranquitas, barranquitas, pr, www.br.uipr.edu/inter/index.php/inicio.html
ilisagvik college, barrow, ak, www.ilisagvik.edu
unification theological seminary, barrytown, ny, https://www.uts.edu
barstow community college, barstow, ca, www.barstow.edu
oklahoma wesleyan university, bartlesville, ok, www.okwu.edu
paul mitchell the school-memphis, bartlett, tn, memphis.paulmitchell.edu
continental school of beauty culture-batavia, batavia, ny, www.continentalschoolofbeauty.edu
genesee community college, batavia, ny, www.genesee.edu
genesee valley boces-practical nursing program, batavia, ny, www.gvboces.org
university of cincinnati-clermont college, batavia, oh, www.ucclermont.edu/
lyon college, batesville, ar, www.lyon.edu
university of arkansas community college-batesville, batesville, ar, www.uaccb.edu
aveda institute-baton rouge, baton rouge, la, aisouth.com
baton rouge community college, baton rouge, la, www.mybrcc.edu
baton rouge general medical center-school of nursing, baton rouge, la, https://www.brgeneral.org/medical-education/school-of-nursing/
baton rouge school of computers, baton rouge, la, www.brsc.edu
camelot college, baton rouge, la, www.camelotcollege.com
d'jay's institute of cosmetology and esthiology, baton rouge, la, www.djaysschoolofbeauty.com
diesel driving academy-baton rouge, baton rouge, la, www.dda.edu
fortis college-baton rouge, baton rouge, la, www.fortis.edu
franciscan missionaries of our lady university, baton rouge, la, www.ololcollege.edu
louisiana culinary institute, baton rouge, la, www.lci.edu
louisiana state university and agricultural & mechanical college, baton rouge, la, www.lsu.edu
medical training college, baton rouge, la, www.mtcbr.com
mid city college, baton rouge, la, www.midcitycollege.edu
moore career college, baton rouge, la, moorecareercollege.edu
relay graduate school of education - baton rouge, baton rouge, la, relay.edu/location/relay-baton-rouge
remington college-baton rouge campus, baton rouge, la, www.remingtoncollege.edu/baton-rouge-career-college
southeastern louisiana university - ebr parish school system prof dev, baton rouge, la, www.southeastern.edu
southern university and a & m college, baton rouge, la, www.subr.edu
southern university law center, baton rouge, la, www.sulc.edu/
university of phoenix-louisiana, baton rouge, la, www.phoenix.edu
vanguard college of cosmetology-baton rouge, baton rouge, la, paulmitchell.edu/batonrouge
virginia college-baton rouge, baton rouge, la, www.vc.edu
kellogg community college, battle creek, mi, www.kellogg.edu
the salon professional academy, battle creek, mi, www.tspabattlecreek.com
wright beauty academy, battle creek, mi, wba.edu
bayshire academy of beauty craft inc, bay city, mi, www.bayshirebeautyacademy.edu
coastal alabama community college, bay minette, al, www.coastalalabama.edu
american educational college, bayamon, pr, www.amedcopr.com
american university of puerto rico, bayamon, pr, aupr.edu
bayamon community college, bayamon, pr, www.bccpr.org
caribbean university-bayamon, bayamon, pr, www.caribbean.edu
colegio de cinematografia artes y television, bayamon, pr, www.ccat.edu/
dewey university-bayamon, bayamon, pr, dewey.edu
escuela de troqueleria y herramentaje, bayamon, pr, escuelatroqueleria.jimdo.com
inter american university of puerto rico-bayamon, bayamon, pr, bayamonweb.azurewebsites.net/
inter american university of puerto rico-school of optometry, bayamon, pr, www.optonet.inter.edu/
leston college, bayamon, pr, www.lestoncollege.com
modern hairstyling institute-bayamon, bayamon, pr, www.modern.edu
national university college, bayamon, pr, www.nuc.edu
nova college de puerto rico, bayamon, pr, www.novacollegepr.com
universidad central del caribe, bayamon, pr, www.uccaribe.edu/
university of puerto rico-bayamon, bayamon, pr, www.uprb.edu/
cem college-bayamon, bayamã³n, pr, www.cempr.edu
universidad central de bayamon, bayamã³n, pr, www.ucb.edu.pr
cuny queensborough community college, bayside, ny, www.qcc.cuny.edu
lee college, baytown, tx, www.lee.edu
university of phoenix-ohio, beachwood, oh, www.phoenix.edu
academy of massage and bodywork, bear, de, www.massage-academy.com
academy of hair design-beaumont, beaumont, tx, academyhairdesign.net
beaumont adult school, beaumont, ca, bas.beaumontusd.us/
brightwood college-beaumont, beaumont, tx, www.brightwood.edu
coachella valley beauty college-beaumont, beaumont, ca, cvbeautycollege.com/
lamar university, beaumont, tx, www.lamar.edu
vista college-beaumont, beaumont, tx, vistacollege.edu
beaver falls beauty academy, beaver falls, pa, bfbeauty.com/
geneva college, beaver falls, pa, www.geneva.edu
kettering college - ollie davis medical arts and education center, beavercreek, oh, kc.edu
northwest college-beaverton, beaverton, or, www.nwcollege.edu
valley college-beckley, beckley, wv, www.valley.edu
fox college, bedford park, il, www.foxcollege.edu
brown mackie college-dallas, bedford, tx, https://www.brownmackie.edu/
duvall's school of cosmetology, bedford, tx, www.duvallschool.com
michaels school of hair design and esthetics-paul mitchell partner school, bedford, nh, michaels.paulmitchell.edu
middlesex community college, bedford, ma, www.middlesex.mass.edu
arkansas state university-beebe, beebe, ar, www.asub.edu
coastal bend college, beeville, tx, www.coastalbend.edu
aveda institute-maryland, bel air, md, avedainstitutemd.edu
harford community college, bel air, md, www.harford.edu
turtle mountain community college, belcourt, nd, www.tm.edu
taylor college, belleview, fl, www.taylorcollege.edu
eastern international college-belleville, belleville, nj, www.eicollege.edu
lindenwood university-belleville, belleville, il, www.lindenwood.edu/belleville/
southwestern illinois college, belleville, il, https://www.swic.edu
bellevue college, bellevue, wa, https://bellevuecollege.edu
bellevue university, bellevue, ne, www.bellevue.edu
daymar college-bellevue, bellevue, ky, www.daymarcollege.edu/
evergreen beauty and barber college-bellevue, bellevue, wa, evergreenbeauty.edu
national american university-bellevue, bellevue, ne, www.national.edu/locations/campuses/bellevue/
northwest indian college, bellingham, wa, www.nwic.edu
western washington university, bellingham, wa, www.wwu.edu
whatcom community college, bellingham, wa, www.whatcom.ctc.edu
belmont abbey college, belmont, nc, www.belmontabbeycollege.edu
notre dame de namur university, belmont, ca, www.ndnu.edu
beloit college, beloit, wi, www.beloit.edu
first class cosmetology school, beloit, wi, firstclasscosmetologyschool.com
university of mary hardin-baylor, belton, tx, www.umhb.edu
brightwood college-beltsville, beltsville, md, www.brightwood.edu
bemidji state university, bemidji, mn, www.bemidjistate.edu
oak hills christian college, bemidji, mn, www.oakhills.edu
fort worth beauty school, benbrook, tx, www.fortworthbeautyschoolinc.com
central oregon community college, bend, or, www.cocc.edu
oregon state university-cascades campus, bend, or, www.osucascades.edu
phagans central oregon beauty college, bend, or, www.phagans-schools.com
sage school of massage & esthetics, bend, or, https://www.sageschoolofmassage.com/
bennington college, bennington, vt, www.bennington.edu
southern vermont college, bennington, vt, https://svc.edu
lake michigan college, benton harbor, mi, https://www.lakemichigancollege.edu
northwest arkansas community college, bentonville, ar, www.nwacc.edu
baldwin wallace university, berea, oh, https://www.bw.edu
